title,year,rating,rating_count,genre
Unfaithful ,2002,6.7,"77,622","Drama,Romance,Thriller,10 May 2002 (USA)
"
The Village ,2004,6.5,"237,060","Drama,Mystery,Thriller,30 July 2004 (USA)
"
Coraline ,2009,7.7,"188,742","Animation,Drama,Family,6 February 2009 (USA)
"
The Bourne Ultimatum ,2007,8.0,"594,824","Action,Mystery,Thriller,3 August 2007 (USA)
"
The Jungle Book ,2016,7.4,"252,857","Adventure,Drama,Family,15 April 2016 (USA)
"
Brave ,2012,7.1,"361,179","Animation,Adventure,Comedy,22 June 2012 (USA)
"
3:10 to Yuma ,2007,7.7,"281,392","Action,Adventure,Crime,7 September 2007 (USA)
"
Wreck-It Ralph ,2012,7.7,"368,253","Animation,Adventure,Comedy,2 November 2012 (USA)
"
The Two Popes ,2019,7.6,"94,117","Comedy,Drama,20 December 2019 (USA)
"
Silence ,2016,7.2,"95,752","Drama,History,13 January 2017 (USA)
"
Vanilla Sky ,2001,6.9,"242,623","Fantasy,Mystery,Romance,14 December 2001 (USA)
"
In Bruges ,2008,7.9,"380,676","Comedy,Crime,Drama,29 February 2008 (USA)
"
Into the Woods ,2014,5.9,"128,852","Adventure,Comedy,Drama,25 December 2014 (USA)
"
Michael Clayton ,2007,7.2,"153,185","Crime,Drama,Mystery,12 October 2007 (USA)
"
Dances with Wolves ,1990,8.0,"233,017","Adventure,Drama,Western,21 November 1990 (USA)
"
Alien 3 ,1992,6.5,"269,390","Action,Horror,Sci-Fi,22 May 1992 (USA)
"
Scent of a Woman ,1992,8.0,"248,902","Drama,8 January 1993 (USA)
"
Isle of Dogs ,2018,7.9,"129,866","Animation,Adventure,Comedy,13 April 2018 (USA)
"
Wild at Heart ,1990,7.2,"79,804","Comedy,Crime,Drama,17 August 1990 (USA)
"
The Birdcage ,1996,7.1,"77,223","Comedy,8 March 1996 (USA)
"
My Cousin Vinny ,1992,7.6,"102,499","Comedy,Crime,13 March 1992 (USA)
"
Tinker Tailor Soldier Spy ,2011,7.1,"182,211","Drama,Mystery,Thriller,6 January 2012 (USA)
"
Moulin Rouge! ,2001,7.6,"261,239","Drama,Musical,Romance,1 June 2001 (USA)
"
Click ,2006,6.4,"297,974","Comedy,Drama,Fantasy,23 June 2006 (USA)
"
Closer ,2004,7.2,"198,522","Drama,Romance,3 December 2004 (USA)
"
Flight ,2012,7.3,"317,180","Drama,Thriller,2 November 2012 (USA)
"
8 Mile ,2002,7.1,"242,705","Drama,Music,8 November 2002 (USA)
"
The Danish Girl ,2015,7.1,"157,908","Biography,Drama,Romance,22 January 2016 (USA)
"
How to Train Your Dragon ,2010,8.1,"645,947","Animation,Action,Adventure,26 March 2010 (USA)
"
The Aviator ,2004,7.5,"324,538","Biography,Drama,25 December 2004 (USA)
"
Superman Returns ,2006,6.0,"267,168","Action,Sci-Fi,28 June 2006 (USA)
"
"O Brother, Where Art Thou? ",2000,7.7,"276,538","Adventure,Comedy,Crime,2 February 2001 (USA)
"
War for the Planet of the Apes ,2017,7.4,"219,467","Action,Adventure,Drama,14 July 2017 (USA)
"
Jerry Maguire ,1996,7.3,"234,661","Comedy,Drama,Romance,13 December 1996 (USA)
"
How to Train Your Dragon: The Hidden World ,2019,7.5,"94,113","Animation,Action,Adventure,22 February 2019 (USA)
"
The Fighter ,2010,7.8,"331,515","Biography,Drama,Sport,17 December 2010 (USA)
"
Legends of the Fall ,1994,7.6,"142,848","Drama,Romance,War,13 January 1995 (USA)
"
American Gangster ,2007,7.8,"381,308","Biography,Crime,Drama,2 November 2007 (USA)
"
Blue Valentine ,2010,7.4,"179,265","Drama,Romance,28 January 2011 (USA)
"
Doubt ,2008,7.5,"118,851","Drama,Mystery,25 December 2008 (USA)
"
The Way Back ,2010,7.3,"107,212","Adventure,Drama,History,21 January 2011 (USA)
"
"Hail, Caesar! ",2016,6.3,"120,004","Comedy,Drama,Music,5 February 2016 (USA)
"
Chicago ,2002,7.1,"210,951","Comedy,Crime,Musical,24 January 2003 (USA)
"
Hugo ,2011,7.5,"297,422","Drama,Family,Fantasy,23 November 2011 (USA)
"
As Good as It Gets ,1997,7.7,"267,827","Comedy,Drama,Romance,25 December 1997 (USA)
"
Men in Black ,1997,7.3,"503,136","Action,Adventure,Comedy,2 July 1997 (USA)
"
Edward Scissorhands ,1990,7.9,"434,124","Drama,Fantasy,Romance,14 December 1990 (USA)
"
Thirteen ,2003,6.8,"78,155","Drama,19 September 2003 (USA)
"
Transformers: Dark of the Moon ,2011,6.2,"378,124","Action,Adventure,Sci-Fi,29 June 2011 (USA)
"
The Rock ,1996,7.4,"304,902","Action,Adventure,Thriller,7 June 1996 (USA)
"
Mary Queen of Scots ,2018,6.3,"35,824","Biography,Drama,History,21 December 2018 (USA)
"
Phantom Thread ,2017,7.5,"103,932","Drama,Romance,19 January 2018 (USA)
"
Trolls ,2016,6.5,"69,110","Animation,Adventure,Comedy,4 November 2016 (USA)
"
Pearl Harbor ,2001,6.2,"305,067","Action,Drama,History,25 May 2001 (USA)
"
Marshall ,2017,7.2,"17,315","Biography,Crime,Drama,13 October 2017 (USA)
"
Thelma & Louise ,1991,7.5,"130,923","Adventure,Crime,Drama,24 May 1991 (USA)
"
