title,year,rating,rating_count,genre
Big Hero 6 ,2014,7.8,"397,172","Animation,Action,Adventure,7 November 2014 (USA)
"
Independence Day ,1996,7.0,"515,588","Action,Adventure,Sci-Fi,3 July 1996 (USA)
"
Bridesmaids ,2011,6.8,"261,104","Comedy,Romance,13 May 2011 (USA)
"
Into the Wild ,2007,8.1,"554,138","Adventure,Biography,Drama,19 October 2007 (USA)
"
Eternal Sunshine of the Spotless Mind ,2004,8.3,"880,405","Drama,Romance,Sci-Fi,19 March 2004 (USA)
"
A Quiet Place ,2018,7.5,"383,948","Drama,Horror,Sci-Fi,6 April 2018 (USA)
"
The Avengers ,2012,8.0,"1,234,446","Action,Adventure,Sci-Fi,4 May 2012 (USA)
"
Primal Fear ,1996,7.7,"178,034","Crime,Drama,Mystery,3 April 1996 (USA)
"
A Few Good Men ,1992,7.7,"226,848","Drama,Thriller,11 December 1992 (USA)
"
Memento ,2000,8.4,"1,087,999","Mystery,Thriller,25 May 2001 (USA)
"
Spider-Man ,2002,7.3,"670,703","Action,Adventure,Sci-Fi,3 May 2002 (USA)
"
Braveheart ,1995,8.3,"935,171","Biography,Drama,History,24 May 1995 (USA)
"
La La Land ,2016,8.0,"480,791","Comedy,Drama,Music,25 December 2016 (USA)
"
The Curious Case of Benjamin Button ,2008,7.8,"570,872","Drama,Fantasy,Romance,25 December 2008 (USA)
"
Almost Famous ,2000,7.9,"245,153","Adventure,Comedy,Drama,22 September 2000 (USA)
"
The Lord of the Rings: The Two Towers ,2002,8.7,"1,437,095","Adventure,Drama,Fantasy,18 December 2002 (USA)
"
The Greatest Showman ,2017,7.6,"221,787","Biography,Drama,Musical,20 December 2017 (USA)
"
The Revenant ,2015,8.0,"677,121","Action,Adventure,Biography,8 January 2016 (USA)
"
Dunkirk ,2017,7.9,"521,210","Action,Drama,History,21 July 2017 (USA)
"
Maleficent ,2014,7.0,"333,737","Action,Adventure,Family,30 May 2014 (USA)
"
Logan ,2017,8.1,"619,287","Action,Drama,Sci-Fi,3 March 2017 (USA)
"
The Square ,2017,7.2,"51,879","Comedy,Drama,19 October 2017 (Germany)
"
Pirates of the Caribbean: The Curse of the Black Pearl ,2003,8.0,"996,090","Action,Adventure,Fantasy,9 July 2003 (USA)
"
Whiplash ,2014,8.5,"680,765","Drama,Music,19 February 2015 (Germany)
"
Casino ,1995,8.2,"446,646","Crime,Drama,22 November 1995 (USA)
"
Beauty and the Beast ,2017,7.1,"260,657","Family,Fantasy,Musical,17 March 2017 (USA)
"
Malcolm X ,1992,7.7,"81,753","Biography,Drama,History,18 November 1992 (USA)
"
A Star Is Born ,2018,7.7,"311,491","Drama,Music,Romance,5 October 2018 (USA)
"
Prisoners ,2013,8.1,"573,159","Crime,Drama,Mystery,20 September 2013 (USA)
"
Avatar ,2009,7.8,"1,094,783","Action,Adventure,Fantasy,18 December 2009 (USA)
"
12 Years a Slave ,2013,8.1,"617,925","Biography,Drama,History,8 November 2013 (USA)
"
The Green Mile ,1999,8.6,"1,098,430","Crime,Drama,Fantasy,10 December 1999 (USA)
"
The Hateful Eight ,2015,7.8,"492,042","Crime,Drama,Mystery,30 December 2015 (USA)
"
Harry Potter and the Deathly Hallows: Part 2 ,2011,8.1,"735,915","Adventure,Drama,Fantasy,15 July 2011 (USA)
"
Cape Fear ,1991,7.3,"166,014","Crime,Thriller,15 November 1991 (USA)
"
Frozen II ,2019,6.9,"112,401","Animation,Adventure,Comedy,22 November 2019 (USA)
"
Suicide Squad ,2016,6.0,"580,831","Action,Adventure,Fantasy,5 August 2016 (USA)
"
The Lord of the Rings: The Return of the King ,2003,8.9,"1,590,551","Adventure,Drama,Fantasy,17 December 2003 (USA)
"
Harry Potter and the Goblet of Fire ,2005,7.7,"524,696","Adventure,Family,Fantasy,18 November 2005 (USA)
"
Gone Girl ,2014,8.1,"823,080","Drama,Mystery,Thriller,3 October 2014 (USA)
"
Schindler's List ,1993,8.9,"1,170,424","Biography,Drama,History,4 February 1994 (USA)
"
Moonlight ,2016,7.4,"258,678","Drama,18 November 2016 (USA)
"
Boogie Nights ,1997,7.9,"231,311","Drama,31 October 1997 (USA)
"
Green Book ,2018,8.2,"328,925","Biography,Comedy,Drama,16 November 2018 (USA)
"
Goodfellas ,1990,8.7,"980,106","Biography,Crime,Drama,21 September 1990 (USA)
"
The Departed ,2006,8.5,"1,147,971","Crime,Drama,Thriller,6 October 2006 (USA)
"
Fifty Shades of Grey ,2015,4.1,"291,173","Drama,Romance,Thriller,13 February 2015 (USA)
"
